step,T,N,E,E_per_bead,Rg,Ree,local_acceptance,pivot_acceptance,production
1000,0.6,100,-48.66626360929388,-0.4866626360929388,7.2953682526996095,15.514866164093881,0.32268041237113404,0.23333333333333334,False
2000,0.6,100,-55.89677763968991,-0.5589677763968991,5.080113165975233,9.392029679550117,0.3403598971722365,0.16363636363636364,False
3000,0.6,100,-60.80104054674199,-0.6080104054674199,5.195906803818354,10.124281127723048,0.35344532053479605,0.12048192771084337,False
4000,0.6,100,-63.78827822591385,-0.6378827822591385,5.7945114960403625,12.874372841588102,0.34971693257848685,0.10526315789473684,False
5000,0.6,100,-66.95890841098847,-0.6695890841098847,5.7654361678253405,12.508839725797896,0.35286834502682624,0.07792207792207792,False
6000,0.6,100,-77.71994168270051,-0.7771994168270051,5.732388310670356,13.08652813571288,0.3491817398794143,0.06153846153846154,False
7000,0.6,100,-80.18519107533508,-0.8018519107533508,5.734410209138571,13.220416579882938,0.35117994100294986,0.05454545454545454,False
8000,0.6,100,-89.93830133406433,-0.8993830133406433,5.733975824614631,12.82210371224352,0.34815674142820313,0.049586776859504134,False
9000,0.6,100,-87.70580490257,-0.8770580490257,5.757786696836552,13.014258068143514,0.34471302554702715,0.04428044280442804,False
10000,0.6,100,-96.29396179980678,-0.9629396179980678,5.73065892427442,12.922780955987486,0.34151118441397793,0.04013377926421405,False
11000,0.6,100,-90.11462175005259,-0.9011462175005259,5.7212592443728685,12.899880275237257,0.339238845144357,0.03614457831325301,False
12000,0.6,100,-90.55740689884006,-0.9055740689884005,5.722355658560298,12.732437776203659,0.34058469475494413,0.032432432432432434,False
13000,0.6,100,-101.93930590785179,-1.0193930590785178,5.69112815864276,12.204055484415946,0.34015873015873016,0.03,False
14000,0.6,100,-93.28166490817166,-0.9328166490817167,5.685628125281136,12.081860532296126,0.3374124585329893,0.027586206896551724,False
15000,0.6,100,-94.36619964165862,-0.9436619964165862,5.696115516929925,11.998540845428082,0.3356253867840198,0.0262582056892779,False
16000,0.6,100,-97.1288048189469,-0.971288048189469,5.701636725676665,12.207348672604802,0.3362980149523073,0.024793388429752067,False
17000,0.6,100,-92.63083206613376,-0.9263083206613376,5.7101627823705465,12.534048896381588,0.3360422099581539,0.023483365949119372,False
18000,0.6,100,-104.70325173324302,-1.0470325173324302,5.6981314206219045,12.559328521047759,0.3337916022226041,0.022099447513812154,False
19000,0.6,100,-104.21264554068169,-1.0421264554068168,5.7072000520865505,12.366551471625888,0.33331525276632673,0.02127659574468085,False
20000,0.6,100,-107.44302655941681,-1.074430265594168,5.727664612499588,12.498849354745463,0.3331271583938972,0.02003338898163606,False
21000,0.6,100,-99.52639665059256,-0.9952639665059256,5.7275698225547025,12.288074703630073,0.3325317760219856,0.019261637239165328,False
22000,0.6,100,-110.49682441072773,-1.1049682441072772,5.723791725130705,12.599012353467506,0.3316931440086227,0.018154311649016642,False
23000,0.6,100,-115.34756976825372,-1.153475697682537,5.684595830724339,12.008961264327533,0.33089817138759414,0.01744186046511628,False
24000,0.6,100,-118.91778209517156,-1.1891778209517156,5.68359851623561,11.804141994756275,0.33011209895632004,0.016736401673640166,False
25000,0.6,100,-112.56730838561306,-1.1256730838561306,5.656937971793334,12.4185153817025,0.32966398680684394,0.016107382550335572,False
26000,0.6,100,-116.9404128030686,-1.169404128030686,5.634476519681852,11.750598291734708,0.3311541661714014,0.01576872536136662,False
27000,0.6,100,-125.37730700537297,-1.2537730700537297,5.635717419053315,11.385721760099607,0.3304968327863848,0.015113350125944584,False
28000,0.6,100,-124.2308611996456,-1.242308611996456,5.62689431068596,11.259424955807193,0.3296161348496559,0.014475271411338963,False
29000,0.6,100,-122.44490214602921,-1.224449021460292,5.643314178792855,11.12778771144393,0.32871308241816827,0.013904982618771726,False
30000,0.6,100,-113.96916856334197,-1.1396916856334196,5.64035753925055,10.981076806109114,0.32771117447013154,0.013498312710911136,False
31000,0.6,100,-129.27420127162884,-1.2927420127162883,5.648637542876652,10.98276620619446,0.32770259036344895,0.012944983818770227,False
32000,0.6,100,-113.70310502198882,-1.1370310502198882,5.672083939238275,11.550929691370342,0.32751401146685566,0.012578616352201259,False
33000,0.6,100,-130.3677319737717,-1.303677319737717,5.641870887623886,11.492943886873615,0.32668040979510243,0.012195121951219513,False
34000,0.6,100,-121.94952923210893,-1.2194952923210893,5.610208743938119,11.40418958098797,0.3265219500363813,0.011811023622047244,False
35000,0.6,100,-121.2863884358035,-1.212863884358035,5.619534983630723,11.304754590503856,0.326872090968008,0.011385199240986717,False
36000,0.6,100,-108.38637520878626,-1.0838637520878627,5.60664709829675,10.997400692543604,0.32599169411427753,0.011059907834101382,False
37000,0.6,100,-117.19462710482722,-1.1719462710482722,5.59774383139364,10.547461715138487,0.32562416406598305,0.01079136690647482,False
38000,0.6,100,-110.6832799305908,-1.106832799305908,5.603660156102743,10.609371131029826,0.32547476939772113,0.010526315789473684,False
39000,0.6,100,-122.95454520551878,-1.2295454520551878,5.581940785070189,10.324613051775792,0.32549226906303685,0.010300429184549357,False
40000,0.6,100,-115.61244082373209,-1.1561244082373208,5.586267434584044,10.571409394785253,0.32488016081645277,0.01001669449081803,False
41000,0.6,100,-123.4222058329757,-1.234222058329757,5.573117188423089,10.68393539082443,0.3238887771520515,0.00980392156862745,False
42000,0.6,100,-116.13273630219106,-1.1613273630219105,5.560962415738761,10.733103454696513,0.32300255202198663,0.009615384615384616,False
43000,0.6,100,-126.70086664187573,-1.2670086664187574,5.544884069074366,11.111348004947663,0.32298657718120805,0.009375,False
44000,0.6,100,-117.4040940106074,-1.1740409401060738,5.557842915621075,10.611330382640913,0.3230650299850075,0.009146341463414634,False
45000,0.6,100,-122.18214772221287,-1.2218214772221287,5.535578723743813,10.863778047597707,0.3222237493128092,0.008928571428571428,False
