q_Ainv,Sq,nframes_avg
4.065000116825103760e-01,3.222039830266278937e+00,1.000100000000000000e+04
4.194999933242797852e-01,1.796057846764065991e+00,1.000100000000000000e+04
4.325000047683715820e-01,nan,1.000100000000000000e+04
4.455000162124633789e-01,1.710672817400915147e+00,1.000100000000000000e+04
4.584999978542327881e-01,nan,1.000100000000000000e+04
4.714999794960021973e-01,4.178663254639420899e+00,1.000100000000000000e+04
4.844999909400939941e-01,nan,1.000100000000000000e+04
4.975000023841857910e-01,3.064258822048986808e+00,1.000100000000000000e+04
5.105000138282775879e-01,2.602518823001160886e+00,1.000100000000000000e+04
5.234999656677246094e-01,nan,1.000100000000000000e+04
5.364999771118164062e-01,2.333158435791495400e+00,1.000100000000000000e+04
5.494999885559082031e-01,nan,1.000100000000000000e+04
5.625000000000000000e-01,3.693969657028714160e+00,1.000100000000000000e+04
5.755000114440917969e-01,nan,1.000100000000000000e+04
5.885000228881835938e-01,2.044605666000286703e+00,1.000100000000000000e+04
6.015000343322753906e-01,1.286225190899656035e+00,1.000100000000000000e+04
6.144999861717224121e-01,1.366067499776099092e+00,1.000100000000000000e+04
6.274999976158142090e-01,nan,1.000100000000000000e+04
6.405000090599060059e-01,1.920215445820682820e+00,1.000100000000000000e+04
6.534999608993530273e-01,1.973101781339791305e+00,1.000100000000000000e+04
6.664999723434448242e-01,2.347773001642420532e+00,1.000100000000000000e+04
6.794999837875366211e-01,nan,1.000100000000000000e+04
6.924999952316284180e-01,9.151512461851989411e-01,1.000100000000000000e+04
7.055000066757202148e-01,2.802858617994477886e+00,1.000100000000000000e+04
7.185000181198120117e-01,2.057466235110526398e+00,1.000100000000000000e+04
7.315000295639038086e-01,1.211311456896629224e+00,1.000100000000000000e+04
7.444999814033508301e-01,nan,1.000100000000000000e+04
7.574999928474426270e-01,1.465354318023264435e+00,1.000100000000000000e+04
7.704999446868896484e-01,3.263699443337202410e+00,1.000100000000000000e+04
7.834999561309814453e-01,nan,1.000100000000000000e+04
7.964999675750732422e-01,2.541001476450999164e+00,1.000100000000000000e+04
8.094999790191650391e-01,1.688670353691120951e+00,1.000100000000000000e+04
8.224999904632568359e-01,2.229225380332955364e+00,1.000100000000000000e+04
8.355000019073486328e-01,1.245524982120642443e+00,1.000100000000000000e+04
8.485000133514404297e-01,1.617719468835258079e+00,1.000100000000000000e+04
8.615000247955322266e-01,1.818882127980353536e+00,1.000100000000000000e+04
8.744999766349792480e-01,1.542485174286688521e+00,1.000100000000000000e+04
8.874999880790710449e-01,nan,1.000100000000000000e+04
9.004999399185180664e-01,1.218004158929805403e+00,1.000100000000000000e+04
9.134999513626098633e-01,2.218594068420516319e+00,1.000100000000000000e+04
9.264999628067016602e-01,1.108092659754152942e+00,1.000100000000000000e+04
9.394999742507934570e-01,1.001665072042728477e+00,1.000100000000000000e+04
9.524999856948852539e-01,2.337785198359283889e+00,1.000100000000000000e+04
9.654999971389770508e-01,9.857900466156439556e-01,1.000100000000000000e+04
9.785000085830688477e-01,8.067755096065024611e-01,1.000100000000000000e+04
9.915000200271606445e-01,2.086026350494242010e+00,1.000100000000000000e+04
1.004499912261962891e+00,2.121955250319379704e+00,1.000100000000000000e+04
1.017499923706054688e+00,2.055074099576088109e+00,1.000100000000000000e+04
1.030499935150146484e+00,1.284690260910985371e+00,1.000100000000000000e+04
1.043499946594238281e+00,1.696012797379252923e+00,1.000100000000000000e+04
1.056499958038330078e+00,1.419826098995534913e+00,1.000100000000000000e+04
1.069499969482421875e+00,2.682972028224233085e+00,1.000100000000000000e+04
1.082499980926513672e+00,2.162830981492710247e+00,1.000100000000000000e+04
1.095499992370605469e+00,1.324625409378932472e+00,1.000100000000000000e+04
1.108500003814697266e+00,2.023686781106931232e+00,1.000100000000000000e+04
1.121500015258789062e+00,1.807572174705203594e+00,1.000100000000000000e+04
1.134500026702880859e+00,1.453578540544821607e+00,1.000100000000000000e+04
1.147499918937683105e+00,1.383309628931048696e+00,1.000100000000000000e+04
1.160499930381774902e+00,2.158839228996311643e+00,1.000100000000000000e+04
1.173499941825866699e+00,2.100747901253098959e+00,1.000100000000000000e+04
1.186499953269958496e+00,1.252887834788393828e+00,1.000100000000000000e+04
1.199499964714050293e+00,1.576425855940025489e+00,1.000100000000000000e+04
1.212499976158142090e+00,1.240049157017124370e+00,1.000100000000000000e+04
1.225499987602233887e+00,1.493522368565927350e+00,1.000100000000000000e+04
1.238499999046325684e+00,2.085116574805017109e+00,1.000100000000000000e+04
