q_Ainv,Sq,nframes_avg
4.065000116825103760e-01,3.222039832173436924e+00,1.000100000000000000e+04
4.194999933242797852e-01,1.796057846638908551e+00,1.000100000000000000e+04
4.325000047683715820e-01,nan,1.000100000000000000e+04
4.455000162124633789e-01,1.710672817984982386e+00,1.000100000000000000e+04
4.584999978542327881e-01,nan,1.000100000000000000e+04
4.714999794960021973e-01,4.178663254591741705e+00,1.000100000000000000e+04
4.844999909400939941e-01,nan,1.000100000000000000e+04
4.975000023841857910e-01,3.064258822048986808e+00,1.000100000000000000e+04
5.105000138282775879e-01,2.602518821141682093e+00,1.000100000000000000e+04
5.234999656677246094e-01,nan,1.000100000000000000e+04
5.364999771118164062e-01,2.333158434778317858e+00,1.000100000000000000e+04
5.494999885559082031e-01,nan,1.000100000000000000e+04
5.625000000000000000e-01,3.693969657571062548e+00,1.000100000000000000e+04
5.755000114440917969e-01,nan,1.000100000000000000e+04
5.885000228881835938e-01,2.044605665672494244e+00,1.000100000000000000e+04
6.015000343322753906e-01,1.286225190157652465e+00,1.000100000000000000e+04
6.144999861717224121e-01,1.366067500045783145e+00,1.000100000000000000e+04
6.274999976158142090e-01,nan,1.000100000000000000e+04
6.405000090599060059e-01,1.920215445427331469e+00,1.000100000000000000e+04
6.534999608993530273e-01,1.973101780356413038e+00,1.000100000000000000e+04
6.664999723434448242e-01,2.347773001976173557e+00,1.000100000000000000e+04
6.794999837875366211e-01,nan,1.000100000000000000e+04
6.924999952316284180e-01,9.151512467875181356e-01,1.000100000000000000e+04
7.055000066757202148e-01,2.802858617291213328e+00,1.000100000000000000e+04
7.185000181198120117e-01,2.057466234443021236e+00,1.000100000000000000e+04
7.315000295639038086e-01,1.211311456206774384e+00,1.000100000000000000e+04
7.444999814033508301e-01,nan,1.000100000000000000e+04
7.574999928474426270e-01,1.465354319268876937e+00,1.000100000000000000e+04
7.704999446868896484e-01,3.263699444982126163e+00,1.000100000000000000e+04
7.834999561309814453e-01,nan,1.000100000000000000e+04
7.964999675750732422e-01,2.541001475932490816e+00,1.000100000000000000e+04
8.094999790191650391e-01,1.688670354746017566e+00,1.000100000000000000e+04
8.224999904632568359e-01,2.229225378688032055e+00,1.000100000000000000e+04
8.355000019073486328e-01,1.245524982227920185e+00,1.000100000000000000e+04
8.485000133514404297e-01,1.617719468823338502e+00,1.000100000000000000e+04
8.615000247955322266e-01,1.818882127715139241e+00,1.000100000000000000e+04
8.744999766349792480e-01,1.542485175276026688e+00,1.000100000000000000e+04
8.874999880790710449e-01,nan,1.000100000000000000e+04
9.004999399185180664e-01,1.218004160728195728e+00,1.000100000000000000e+04
9.134999513626098633e-01,2.218594068718509504e+00,1.000100000000000000e+04
9.264999628067016602e-01,1.108092659256503909e+00,1.000100000000000000e+04
9.394999742507934570e-01,1.001665071474306057e+00,1.000100000000000000e+04
9.524999856948852539e-01,2.337785197679858928e+00,1.000100000000000000e+04
9.654999971389770508e-01,9.857900466499132097e-01,1.000100000000000000e+04
9.785000085830688477e-01,8.067755096065024611e-01,1.000100000000000000e+04
9.915000200271606445e-01,2.086026351465700479e+00,1.000100000000000000e+04
1.004499912261962891e+00,2.121955249723392889e+00,1.000100000000000000e+04
1.017499923706054688e+00,2.055074099576088109e+00,1.000100000000000000e+04
1.030499935150146484e+00,1.284690261354995755e+00,1.000100000000000000e+04
1.043499946594238281e+00,1.696012795758168767e+00,1.000100000000000000e+04
1.056499958038330078e+00,1.419826099981893019e+00,1.000100000000000000e+04
1.069499969482421875e+00,2.682972029463885466e+00,1.000100000000000000e+04
1.082499980926513672e+00,2.162830979287558630e+00,1.000100000000000000e+04
1.095499992370605469e+00,1.324625409712685054e+00,1.000100000000000000e+04
